,Title,Author,Story Summary,chapter Amount
377,Mercy,Niyusa, Mafia AUThis is my shot about the backstory from the MV [Q].    ,1
378,Narrow Gaps,Tripsout2 (Azureshadowmoon), Gura and personal space.  Or lack thereof.    ,1
379,The Grey Garden,Tripsout2 (Azureshadowmoon)," Ina isn't in love, but the flowers in her lungs say otherwise.    ",1
380,Reflection Days,Tripsout2 (Azureshadowmoon), It's August 14th.    ,1
381,Beauty Marks,Tripsout2 (Azureshadowmoon), “Are you really playing connect the dots with my freckles?”    ,1
382,Is there anyone you like?,Magetro21, ,1
383,Goodnight I love you,Magetro21, Two dorks about to sleep but couldn't resist to check up on each other    ,1
384,Amelia x Astel,apollospvtnik, Ame and Gura take a sex trip to Japan.    ,1
385,Everything Stays,Gl1tch3dOracle, Based on the song by Rebecca Sugar    ,1
386,Fast-forward,redsummernight," Amelia Watson did not have time for anything. Not friends, not romance, not even a sense of self-preservation. This list is non-exhaustive.    ",1
387,Beyond 0%,Hoshicollekuta," In a world dyed in violet, the battered detective executes her final operation.    ",1
388,You are mine and only mine,Yozora786," Ame and Gura's friends were busying for their works or dating and the duo were bored. The shark girl then suggest to bring Ame to the Atlantis, a place that has advanced technology and full of dangerous sea creatures that will eat human.    ",1
389,Curse of Blood,notShiro13, A vampire Amelia bothers a human witch Ina for food and what is originally a feeding session turns into a session of love and passion.    ,1
390,KFP,lightningstormtc," ""There is only one more question,"" the interviewer said. ""Do you have any problems serving supernatural customers?""""Not really,"" Ryan replied. ""It's not like they're not people too. I don't see the big deal with it.""""I see,"" the interviewer said. ""I would love to have you here, but there is a new location being opened not too far from here. You will be receiving an email with further details. Have a great day.""Ryan smiled.18 year old Ryan Shade is taking his first job after being a NEET for a year. Little does he know that he's in for a huge surprise.A normal person is hired to work at a new KFP location where the CEO Takanashi Kiara herself will be working at. It is a rather small location, but for some reason, none of the customers are normal humans. Read along and find out how he interacts with different people from the Hololive Production and how this changes him as a person.CONTINUED IN KFP: DOUBLE BACK AND KFP: RETURN HOME    ",31
391,Are You In Bed with Her?,liittle_dragonfly," Ina is late to stream. Kiara is worried, and ends up calling Amelia. But the detective seems… preoccupied.    ",1
392,ThomasGreat Drabbles,ThomasGreat, Fluffy short storiesPosted whenever    ,1
393,the sun in my eyes,minroll," Beside her, giggles ring out. Amelia’s face is lit up in joy, eyes crinkled and toothy grin, an expression far gentler than Gura had expected from the detective. The word that she was looking for earlier makes itself known: cute.Or: Amelia and Gura go treasure hunting. Something's not right, but Gura chooses not to linger on it.    ",1
394,Resting on Angel Wings,feartheViolet," Watson Amelia lives a quiet life. It's been years since she'd freed the girl she found to be possessed by the Ancient Ones. Now, she lives each day in peace. No more time travel. No more eldritch horror. Just her, the afternoon sun, and the angel in disguise she now lives with.    ",1
395,Congregation,Tripsout2 (Azureshadowmoon), Amelia goes to church for every reason you shouldn't go to church for.    ,1
396,absinthe,ninthsnow," “Come to think of it,” Amelia starts, a half amused giggle already coating her hoarse voice. “We’re idiots, you and I. Loving people we can’t seem to have. We should make a club.”Calli jabs her in the rib with an elbow. “Fuck you, Watson.”Amelia’s pained grunt is laced with clear laughter.“Tea time every Fridays, then.”    ",1
397,The Twelve (Delayed) Days of Christmas,WordsAndBlossoms," A very short Polymyth ship for each day.  1. Takamori- Falling Forever2. Takotori- Icarus' life, it has only just begun3. Ametori- Burn the Sky Away, Then Heal It With a Touch4. Amemori- Getting Lost and Being Found Here5. Polymyth- Four Fifths and One More6. Amesame- alight in the moment (a light in the dark)7. Sametori- Love Bites and Claws8. Inasana- A little thing called ""Destiny""9. Inasame- Three Minds, One Love10. Inamori- If actions speak a thousand words, your embrace would be a novel11. Samemori- A pair of insomniacs12. Iname- Emotions Like Petals Ina murmurs something against her lips, but it only comes out as a puff of breath and a faint tremble. It's lost to those feelings as they move ever closer and press to each other. Ina's kiss is sweet, but she teases Amelia with the slightest touch of fangs. They graze her skin and just the sensation makes her shiver. It's bruising, not the action- no, that's so full of love that it makes Amelia's heart want to burst- but the message hidden behind it. Ina is toying with her, using hints of teeth and occasional sharp touches because she knows what it does to Amelia.    ",12
398,A Life Without You,Meowlordfur," Amelia's life ended the day Gura died.Unable to cope with her loss, Amelia abandons her friends to traverse other timelines until she has an unexpected meeting with a certain someone.    ",1
399,Prescriptions,Tripsout2 (Azureshadowmoon), Gura has trouble sleeping. Amelia has the perfect remedy.    ,1
400,Something's off,Dr_Ahegao," Everything seems normal about her yet,It doesn't feel right.    ",1
401,Gura's Great Homestead Defense,Tripsout2 (Azureshadowmoon), In the unique case of a time traveler force feeding you their cooking.    ,1
402,How to win a peafowl’s heart,Jistimasou," Sometimes, all it takes is saying the right word at the right time.    ",1
403,The Creature in the Forest,VelvetNimbus," You are a park ranger in training, hired to investigate a noise complaint from the local town about foxes howling loudly in the forest at night. What you find shocks you!    ",1
404,Chaos and Hope,MonochromeLibrary, Sometimes even the most chaotic of relationships are the sweetest ones.    ,1
405,Christmas Dinner,Elias_Pedro," Gura wakes up in her apartment on the morning Christmas Eve, thinking that it's just another regular day. However, unexpected visitors turn her supposedly uneventful day into her greatest Christmas of all time!  Based on Gura's tweet!    ",1
406,IN THE END.,makuradayo," Amelia Watson is a police detective who's getting bored with her life. But one day, a supernatural being who devours entire universes shows up on her home turf, and four other supernatural girls are sure that she's the only one who can stop it.  ------------- twitter: @makura__dayotumblr: @makuradayo        ",1
407,How to win a peafowl’s heart,Jistimasou," Sometimes, all it takes is saying the right word at the right time.    ",1
408,Worn Out,The_Architect_Of_Light, Just a tiny snip-it for you all. Enjoy!    ,1
409,Something's off,Dr_Ahegao," Everything seems normal about her yet,It doesn't feel right.    ",1
410,My Memory of You,MonochromeLibrary," Memories can be as fleeting as the wind itself, one moment it’s right next to you, the next it already had gone somewhere else.    ",1
411,In a Town by the Sea,      Anonymous," Time leaps to the end of the world were often a lonely, solitary journey. Until one day, Amelia decided it wouldn't be.    ",1
412,The End of the Line,Tripsout2 (Azureshadowmoon), Amelia is content to ignore any cases that involved red strings. She couldn't see them anyway. There wasn't a point. Until Ina.    ,1
413,The Deadest Deadbeat,Kittle," Calliope Mori is a reaper, a rapper, and a vtuber. She claims she will personally collect the souls of her fans, the Deadbeats. Whilst collecting one such soul, she has to head into the Hololive office for a quick meeting. It should be fine to leave a post-mortem Deadbeat unsupervised in the office for a few minutes, right?    ",1
414,Close: Gawr Gura and/x Amelia Watson fluff + angst fanfiction,CornerCat," A fluff + angst fanfiction with Gawr Gura and Amelia Watson from HoloLive EN / HoloMythTrigger warning, I guess    ",1
415,Broken Myths,HereToImagine," Spoilers for the other works in this series. Please read them first. With the final two members of holoMyth arriving, Amelia Watson can finally begin to move towards her goal. However, Calliope Mori and Takanshi Kiara have other plans for her.Gawr Gura must now face her past head on and Ninomae Ina'nis wants to learn more about her own past.Can the group get along? Or will they tear each other apart?    ",13
416,Mercy,Niyusa, Mafia AUThis is my shot about the backstory from the MV [Q].    ,1
417,"Without The Bitter, Sweet Isn't As Sweet",Somarisu, Princess Ina'nis of the Royal Family Ninomae.Suspected murderer/vigilante/thief Amelia Watson.Ina unknowingly dancing with her families worst enemy in a masquerade ball.Amelia unknowingly dancing with the target of her vendetta.They fall in love in waltz.    ,2
418,Fangs Are Gay: a field study by Amelia Watson,TiefVoid," What is Amelia Watson if not a hunter for the truth? A researcher looking for answers? A professional detective? Well, she's very fond of her girlfriends, that's for sure. Or Four times Amelia flirts and one time she is flirted with.    ",1
419,Dark Future,Errbin, What does the future hold for Calli if she has to do a horrendous act to get her spot back?    ,2
420,chicken sandwich,fukaiyuna," not that anything would ever stop Amelia from eating half a dozen of KFP's brand new addition to the menu: very spicy, very greasy, chicken sandwich.    ",1
421,Cooking With Watson,The_Architect_Of_Light," Just a comedy story I thought up on the spot. I hope you enjoy, dear reader :)    ",1
422,Resting on Angel Wings,feartheViolet," Watson Amelia lives a quiet life. It's been years since she'd freed the girl she found to be possessed by the Ancient Ones. Now, she lives each day in peace. No more time travel. No more eldritch horror. Just her, the afternoon sun, and the angel in disguise she now lives with.    ",1
423,Dog Bed,Tripsout2 (Azureshadowmoon), Every cute girl gets dog ears.    ,1
424,Fleeting Memories,Gl1tch3dOracle," “Ina? What happened?” Amelia finally took in the new appendages her girlfriend had seemingly grown overnight. The priestess didn’t say anything, instead choosing to awkwardly clamber into Amelia’s room, wrapping her arms around her girlfriend.“Ame… I may’ve done something I might regret,” Ina whispered hoarsely in her ear. Behind her, a purple-cover bound book floated after their priestess.    ",1
425,Dark Future,Errbin, What does the future hold for Calli if she has to do a horrendous act to get her spot back?    ,2
426,Dog Bed,Tripsout2 (Azureshadowmoon), Every cute girl gets dog ears.    ,1
427,Are You In Bed with Her?,liittle_dragonfly," Ina is late to stream. Kiara is worried, and ends up calling Amelia. But the detective seems… preoccupied.    ",1
428,The Club,The_Architect_Of_Light," Just a small piece I thought up while trying to get some sleep. Nothing super special. Hope you like it, dear reader.    ",1
429,this doesn't seem so bad,DonLucky," No! Work first, cuddle later.    ",1
430,kiryuu coco is graduating and i don't know how to feel so i'm writing a spicy-ish kanacoco one shot,makuradayo," imagine not reading the titleya idk it's pretty crazy, but probably for the best since hololive was being so strict... she has a lot of big ideas and maybe she wouldn't be able to put them in action at hololive.    ",1
431,The Creature in the Forest,VelvetNimbus," You are a park ranger in training, hired to investigate a noise complaint from the local town about foxes howling loudly in the forest at night. What you find shocks you!    ",1
432,Chaos and Hope,MonochromeLibrary, Sometimes even the most chaotic of relationships are the sweetest ones.    ,1
433,Mascot Adventures,Wiggles, Just gonna be a collection of drabbles and stories of the different HoloEN mascots.    ,1
434,KFP,lightningstormtc," ""There is only one more question,"" the interviewer said. ""Do you have any problems serving supernatural customers?""""Not really,"" Ryan replied. ""It's not like they're not people too. I don't see the big deal with it.""""I see,"" the interviewer said. ""I would love to have you here, but there is a new location being opened not too far from here. You will be receiving an email with further details. Have a great day.""Ryan smiled.18 year old Ryan Shade is taking his first job after being a NEET for a year. Little does he know that he's in for a huge surprise.A normal person is hired to work at a new KFP location where the CEO Takanashi Kiara herself will be working at. It is a rather small location, but for some reason, none of the customers are normal humans. Read along and find out how he interacts with different people from the Hololive Production and how this changes him as a person.CONTINUED IN KFP: DOUBLE BACK AND KFP: RETURN HOME    ",31
435,we wasted all our free time alone,helpisontheway," Nobody understands time like Amelia Watson. Her friends are willing to try, though. They manage to get closer.    ",1
436,Lonely Night,Meowlordfur," Amelia has been on a case for over two weeks, and hasn't seen her girlfriends at all in that time. She misses them dearly. Perhaps a little too dearly.    ",1
437,Wet Noodles,ryry_bread, Our favorite time traveling detective craves a sharky.    ,1
438,Something's off,Dr_Ahegao," Everything seems normal about her yet,It doesn't feel right.    ",1
439,calling home,staccatz," The first time Ina caught it, she wasn’t even on the phone. She was working on something else entirely, something she’d whipped up quick for background practice one day, when it unwittingly revealed itself to her.That melancholy in Gura’s eyes.    ",1
440,Morning Cuddles,aaaaaaaaaaay, Just Ametori fluff    ,1
441,A Sight to Behold,KingMufasa, The Holomyth girls decided to go on a beach trip together to de-stress and have some fun. Amelia ends up having fun her own way after catching a glimpse of a certain attractive phoenix....    ,1
442,Small Fish in a Star Filled Pond,Rook_385," Amelia Watson, Captain of the Sun Fish, crash lands on an alien planet. She is quickly met by an unexpected and unknown guest. #HoWriTo2022    ",1
443,couple hours could change your life.,culpabilities, Calliope Mori stumbles upon tiny Amelia Watson playing in the sandbox in the local playground.    ,1
444,chicken sandwich,fukaiyuna," not that anything would ever stop Amelia from eating half a dozen of KFP's brand new addition to the menu: very spicy, very greasy, chicken sandwich.    ",1
445,The Death... Of Amelia Watson.,The_Architect_Of_Light," Just a small something I was thinking about while listening to a Star Wars OST. Basically, Gura Gawr heads to Amelia Watson's house on the knowledge that Amelia is dying.    ",1
446,Cooking With Watson,The_Architect_Of_Light," Just a comedy story I thought up on the spot. I hope you enjoy, dear reader :)    ",1
447,we wasted all our free time alone,helpisontheway," Nobody understands time like Amelia Watson. Her friends are willing to try, though. They manage to get closer.    ",1
448,religion's in your lips,Zephyroh," Ina immediately recognizes the footsteps as they hit the cobblestone, and a slow smile drags on her lips. The flaps on the top of her head perk up. Unmoving from her position, kneeling before the altar of the Old Gods, surrounded by the sweet smell of incense and the quiet voices in her head, she waits. When the voice speaks up, a beacon of light in the shrouded night of her mind, her heart flutters, as it has always done when hearing it. She wonders if Amelia Watson will ever cease to have this effect on her, someday. She hopes not.     ",1
449,The Club,The_Architect_Of_Light," Just a small piece I thought up while trying to get some sleep. Nothing super special. Hope you like it, dear reader.    ",1
450,this doesn't seem so bad,DonLucky," No! Work first, cuddle later.    ",1
451,i hear the clock tick (and think of you),orphan_account,"  Listen, if time travel is incoherence and contradiction, then so am I.     ",1
452,Never Ready for Change,SereKabii," A (very) short thought experiment on time and mortality, by the eyes of someone who has thousands of years left to live. The month... is February 2021.    ",1
453,Fubuki and Bae Are Trapped in a Room While Mumei Films Then Something Unexpected Happens,apollospvtnik, The title says it all.    ,1
454,A Time Traveller's Final Wish...,The_Architect_Of_Light, I don't know what to put here...    ,1
455,A Sight to Behold,KingMufasa, The Holomyth girls decided to go on a beach trip together to de-stress and have some fun. Amelia ends up having fun her own way after catching a glimpse of a certain attractive phoenix....    ,1
456,Kiara Hates IRyS,KHInon," Kiara has to spend time with IRyS. She doesn't appreciate that time a lot, until she does...    ",1
457,The White Lion is Subconsciously Smooth,Zettro, A string of drabbles for Hololive 5th Gen. Botan seems to be popular among her class(read:gen)mates.    ,1
458,Anya is sick,Pearl_The_Pearl," Anya is sick and Reine take cares about her,just a short fanfic of Reinya.    ",1
459,Girlfriend Syndrome,Tripsout2 (Azureshadowmoon), Gura has a girlfriend that just so happens to have hundreds of versions of herself out there.Sometimes she meets them.    ,1
460,Why don't we get together then?,Magetro21, ,1
461,"And for this, I will let you go",Magetro21," Gura is cursed with absolute death and Amelia tries to save her multiple times only finally be confronted by Calli and Gura herself one more time and finally letting go.But then she meets a familiar face once more after going back in time to investigate into an old cold case. ""It's better this way, Amelia. But just remember, I love you, and I always will.""    ",1
462,wanson,parten (Azureshadowmoon), inamesame    ,1
463,You Belong,ReapingReaper," ""You're not lost Watson. Even if you think you don't belong anywhere."" Gura held Amelia's hands, placing them in her chest, a place that indicated where her heart was ""You are always here, in my heart.""    ",1
464,Kiara Hates IRyS,KHInon," Kiara has to spend time with IRyS. She doesn't appreciate that time a lot, until she does...    ",1
465,Between Timelines,Face_Eater (Over_Run_666)," A Hololive EN fan fictionWith timelines spinning out of control Amelia Watson travels through time and space to rescue someone special.That bit was easy, getting past rapping reaper might be more dangerous.Edit: I cleaned it up and added a final note.    ",1
466,Anya is sick,Pearl_The_Pearl," Anya is sick and Reine take cares about her,just a short fanfic of Reinya.    ",1
467,Girlfriend Syndrome,Tripsout2 (Azureshadowmoon), Gura has a girlfriend that just so happens to have hundreds of versions of herself out there.Sometimes she meets them.    ,1
468,Why don't we get together then?,Magetro21, ,1
469,"And for this, I will let you go",Magetro21," Gura is cursed with absolute death and Amelia tries to save her multiple times only finally be confronted by Calli and Gura herself one more time and finally letting go.But then she meets a familiar face once more after going back in time to investigate into an old cold case. ""It's better this way, Amelia. But just remember, I love you, and I always will.""    ",1
470,You're My Serenity,SnowTaku," In the school of Myth University, two transfer students, Takanashi Kiara and Gawr Gura have just enrolled for their last year of college. There they meet three of their classmates, Mori Calliope, Watson Amelia, and Ninomae Ina'nis. What Kiara doesn't know is that she has met one of these people before in the past when she was a kid. Will she be able to recognize this girl when they first meet? And does she know that this girl has created the songs she always loved to listen to all the time?   She may remember soon when the school announces the annual Battle of the bands that happens every start and end of the school year.    ",3
471,Small Fish in a Star Filled Pond,Rook_385," Amelia Watson, Captain of the Sun Fish, crash lands on an alien planet. She is quickly met by an unexpected and unknown guest. #HoWriTo2022    ",1
472,Blue,Tripsout2 (Azureshadowmoon)," “Why?” Gura asks.  Amelia looks at her with mock seriousness, “Because I’ll do anything to get out of paperwork. Help a girl out, please.”    ",1
473,Time Dust,Tripsout2 (Azureshadowmoon)," Amelia accidentally time travels and finds Gura, except she's holding Amelia's gun and wearing a cowboy hat. It's too fascinating not to investigate.    ",1
474,Falling Forward,Tripsout2 (Azureshadowmoon), Ina has been crushing on the same person for 100 years.    ,1
475,Message in a Bottle,Tripsout2 (Azureshadowmoon), There's a beach two hundred meters from an abandoned lighthouse and just south of the windy cliffs. Gura knows this beach well.    ,1
476,Fun House Mirror,Kraston," Amelia Watson sat before Amelia Watson. Amelia of this world sat in her office chair, leaned casually forward over her table with her weight over her forearms. Amelia of the other world or Watson, as Amelia now identified her as, sat languidly back into the chair opposite of Amelia. Watson leaned onto one side, elbow sat upon one armrest, and she smiled placidly at her counterpart.Watson sat there, relaxed and she seemed genuinely content. It was Amelia who was stricken with an odd sense of panic and cold fear.At that moment Amelia decided that Watson could possibly not be human. Or at least if she was, she’d be human in the same sense that Ina was human.---Or InAmeSame meets their horror fun house mirror versions    ",1
477,"""Reaping"" The Benefits",Phemon13," Life is full of surprises, but Amelia and Gura didn't expect death to have some too. Sequel to ""Fading"".    ",1
478,Outsiders,orphan_account," She didn’t know exactly why she wanted to. Maybe it was her getting bored and wanting to do something for a change, maybe she saw herself in her, maybe she thought she was cool, maybe she wanted to be a good senpai to her, or maybe she simply pities her.But overall, she’s going to sit next to her.    ",1
479,Carrying a Torch for the Guardian and the Warden,NoCake," Slow build with Amelia x Kronii x Mumei I'm not the best at summaries.This was deleted, reuploaded with changes to the story.    ",13
480,Different Worlds,Nayarune, Bae tries to find what was lost.    ,1
481,Icy Veins,Tripsout2 (Azureshadowmoon), They're snowed in and freezing. Gura pushes her limits and suffers the consequences.    ,1
482,The Empty Fridge,Tripsout2 (Azureshadowmoon)," Amelia gets a girlfriend, runs over a scooter, and refills her fridge. Not exactly in that order.    ",1
483,Timeless,CaptainCaper," Ninomae Ina'nis is many things, but to Amelia Watson, she's timeless.    ",1
484,Maybe Somewhere out there..,Magetro21, Maybe somewhere out there.. A Shark and A Detective awaits for each others arrival    ,1
485,50 Letters to HakoTaro,seidex," Myth, Council and IRyS were in a fight with Omegaα . Not knowing their next move Omegaα creates a portal taking IRyS into another dimension to keep her friends safe.. But she also left behind her significant other HakoTaro. Will she be able to find her way back to her beloved?    ",1
486,scars,parten (Azureshadowmoon), amesame    ,1
487,her oasis,chronekko, Amelia wants to show her favorite place.Ina has some reservations.    ,1
488,Carrying a Torch for the Guardian and the Warden,NoCake," Slow build with Amelia x Kronii x Mumei I'm not the best at summaries.This was deleted, reuploaded with changes to the story.    ",13
489,Why don't we get together then?,Magetro21, ,1
490,"And for this, I will let you go",Magetro21," Gura is cursed with absolute death and Amelia tries to save her multiple times only finally be confronted by Calli and Gura herself one more time and finally letting go.But then she meets a familiar face once more after going back in time to investigate into an old cold case. ""It's better this way, Amelia. But just remember, I love you, and I always will.""    ",1
491,wanson,parten (Azureshadowmoon), inamesame    ,1
492,You Belong,ReapingReaper," ""You're not lost Watson. Even if you think you don't belong anywhere."" Gura held Amelia's hands, placing them in her chest, a place that indicated where her heart was ""You are always here, in my heart.""    ",1
493,close.,TerrifyingGremlin, Gura and Amelia love to tease each other.    ,1
494,You're My Serenity,SnowTaku," In the school of Myth University, two transfer students, Takanashi Kiara and Gawr Gura have just enrolled for their last year of college. There they meet three of their classmates, Mori Calliope, Watson Amelia, and Ninomae Ina'nis. What Kiara doesn't know is that she has met one of these people before in the past when she was a kid. Will she be able to recognize this girl when they first meet? And does she know that this girl has created the songs she always loved to listen to all the time?   She may remember soon when the school announces the annual Battle of the bands that happens every start and end of the school year.    ",3
495,Red to blue,Zanye," For as long as she can remember, Gura her eyes have always been ruby in color, same with her highlights.She doesn't realize that meeting a certain detective slowly changes that.Along with her slowly falling in love with said detective. My submission for the #HoWriTo2022 tournament held by trip.    ",1
496,Comfort Ina Moment,Seamonkey1," Returning to there shared apartment after picking up some groceries, Ina finds that Ame hasn't been looking after herself properly and so Ina sets out to comfort her.    ",1
497,Different Worlds,Nayarune, Bae tries to find what was lost.    ,1
498,Icy Veins,Tripsout2 (Azureshadowmoon), They're snowed in and freezing. Gura pushes her limits and suffers the consequences.    ,1
499,The Infinite Longing,IronShiba (wegglebots)," From the sea of the unconscious, your past lives rise to the surface. Who are you, exactly? The radio tower beckons. The loop will be broken. ___ Part 3 of the Endless Loop series!!    ",2
500,The Minecraft Visit for a Shark,Kousaka_Erena," Korone feels lonely after realising that no one was online on the Minecraft server, so she asks the chat for help and ends up finding Gura in the server of her own.    ",1
501,Outsiders,orphan_account," She didn’t know exactly why she wanted to. Maybe it was her getting bored and wanting to do something for a change, maybe she saw herself in her, maybe she thought she was cool, maybe she wanted to be a good senpai to her, or maybe she simply pities her.But overall, she’s going to sit next to her.    ",1
502,In Another Life,Saint_Children, Chaos needs to fix her past mistakes while dealing with her trauma. Hope enters and they fall in love but was it meant to be. God comes by and makes Chaos remember everything from another life of the two. With these memories will her feelings change or grow stronger.    ,5
503,Give Me Love,GrandLeviathan," Jenma invites a male co-worker around to her apartment for drinks. They do exactly that... though he quickly finds out that Jenma gets very playful when drunk, and very unreserved about her feelings as well.    ",1
504,Red to blue,Zanye," For as long as she can remember, Gura her eyes have always been ruby in color, same with her highlights.She doesn't realize that meeting a certain detective slowly changes that.Along with her slowly falling in love with said detective. My submission for the #HoWriTo2022 tournament held by trip.    ",1
505,Comfort Ina Moment,Seamonkey1," Returning to there shared apartment after picking up some groceries, Ina finds that Ame hasn't been looking after herself properly and so Ina sets out to comfort her.    ",1
506,Death of the detective,IrishMoniv," Amelia felt shivers run down her back. The hand of death. She mused, taking a lighter and cigarette from her coat pocket. Putting the cigarette into her mouth, Amela sighed. “I swear, this case is gonna be the death of me.” The blonde muttered, getting up from her small desk...---------------Fic is not pre-written and doesn't have a schedule, so updates are gonna be inconsistent, I hope you all understand :3    ",1
507,Takamori Adopts a Child,lightningstormtc, Takamori Adopts a Child    ,12
508,The five works I promised lmfao,Magetro21," I made a promise in twitter that I'd make five fanfics if the reveal was going to be an AmeSame collab, and it was, so now we're here!It's going to be in the orderFluffAngstFluffSMutFluff    ",5
509,Betrayal of the mind,Shatirk," Amelia Watson leaves London and moves to the city of Boston, recommended by her mentors Sherlock Holmes and John Watson, chasing what seems to be an interesting and profitable job.What she eventually finds there, however, will put all of her skills up to a test.    ",2
510,Our Slice of Life Away from Council,Taro8123, A collection of anthological ficlets taling various members of Holo Council and their lives away from duties. Chapters are scheduled to release every week.    ,5
511,Red,CaptainCaper," Ninomae Ina'nis has been subjected to many tragedies, but never the bloodied, beaten body of her beloved wife.Especially at the hands of her own son.    ",1
512,Out of Time,LupesInculta, Amelia has to deal with a monster that's all too familiar to her.    ,2
513,Hold Me,PhoebeGalaxy," Being in a relationship can be complicated, especially when you are a time traveler.    ",1
514,My Dear Hope,seidex," Hakos Baelz, an 20 year old rat who's just tryna finish her school life so she could finally be free from it's torture.. After all these years it's finally going to be her last year here in College! Huzzah! But she doesn't expect anything special from this year until.. Her friends introduced her to ""Drunk Karaoke.""    ",5
515,From Another World Volume 1: In Another World,Cenonn," Mikage Kamishiro, a former delinquent and now an avid video game fan, got involved in an accident one rainy night.Good news: He woke up safe and sound in a hospital.Bad news:Said hospital was found in another world.This is his story as he tries to live as a person from another world.    ",25
516,Ina's Dungeon (No This Isn't Kinky I Swear),Scump_Smallbrain, Amelia and Gura discover something weird in Ina's new house. This calls for a detective.~part one of a two-parter~    ,1
517,ive got a bone to pick with you,velvet_plush," Ina’s always been testy about magic usage around both Gura and Watson. Gura thinks it's about time to blow that insecurity out of the water.With Watson out of the apartment and the other two left without a caretaker, things go south. Quickly.    ",1
518,you should see the other guy,Cosmata," Amelia presented her arms and tilted her head up. “Patch me up, doc.”    ",1
519,To Be Taken Away By You,gozita2003, All Calli wants Ame to do is just stop for once. For her.    ,1
520,on hold,milk_n_cookiez, just baerys rivalry over mario kart    ,1
521,Open Season,Tripsout2 (Azureshadowmoon), Gura is on the hunt.    ,2
522,close.,TerrifyingGremlin, Gura and Amelia love to tease each other.    ,1
523,Sora no Hiryuu,Pika_the_Chuu," My last tribute to the chairman of Kiryuukai, the gebokawa Yakuza dragon idol of Hololive    ",1
524,Take care of yourself Watson!,Magetro21," Amelia ran through the rain, trying not to be late for school for once and actually talk with Gura early in the morning. Fortunately enough for her, she made it with a lot of spare time and immediately approached Gura.Gura saw Amelia, drenched to her displeasure and gave her her hoodie.Ahh, truly what gays these two are.    ",1
525,A Leonine Sharpshooter (Hololive),RandomAdventures," Akita and Botan venture off on a mission to rescue one of their own. During the course of it, and in its aftermath, the two of them may just grow closer, to the point of their relationship changing... (OC/Shishiro Botan.)    ",3
526,A Leonine Sharpshooter (Hololive),RandomAdventures," Akita and Botan venture off on a mission to rescue one of their own. During the course of it, and in its aftermath, the two of them may just grow closer, to the point of their relationship changing... (OC/Shishiro Botan.)    ",3
527,A Warm Conjoining (Hololive),RandomAdventures," After that one particular night, the special day has arrived! Saru and Flare are finally getting married, and nerves linger in him at the happy occasion. Luckily for him, he has his fiancée soon to be wife to help him in that matter. (OC/Shiranui Flare.)    ",1
528,A Fleeting Return (Hololive),RandomAdventures," Already it's nearly been two years since Kronii left. As her birthday fast approaches, Ren is told of a precious opportunity to get to see the warden of time once more, a visit that-though brief-might be more enriching than anything else for both of them. (OC/Ouro Kronii.)    ",1
529,A Timely Departure (Hololive),RandomAdventures," Nearing their graduation, Ren knows that the precious time left with his classmates is swiftly reaching its end. This extends to Kronii, his childhood friend. Though as time runs short, perhaps there's just enough to communicate everything that needs to be said so no regrets lie at the end of it all. (OC/Ouro Kronii.)    ",1
530,Hololive's Got Talent,Kousaka_Erena," Once again (and hopefully for the last time) Gura and Korone are featured in another reality show reference.""Blame Yuu,"" Gura said.    ",1
531,Hololive's Got Talent,Kousaka_Erena," Once again (and hopefully for the last time) Gura and Korone are featured in another reality show reference.""Blame Yuu,"" Gura said.    ",1
532,Tick-Tock,Darvz, Amelia Watson of Earth 52 goes on the final mission to save this timeline issued by Yagoo in the JP Headquarters. Will this time manipulator succeed?    ,1
533,Changes,SnowyCh (orphan_account), I'm new to the ao3 and I'm fan of hololive and this is one first work so bear with me. I'm would to bring something that I'm never saw in hololive community before. GenderBend.    ,1
534,Shark Fever,KagamiWatsuki, when the shark fell ill..    ,1
535,Exiles,N00b_edY, About breaking rules?    ,4
536,Glitched (Definitive Edition),HoloFan," A revision of my most popular work, Glitched. Now with more detail, better writing, more fluff, and new chapters.After a night of making plans for an offline collab with Gura goes wrong, Amelia wakes up to find out that she’s trapped in Minecraft with the shark. The two must survive the strange new circumstances they find themselves in as they begin to grow closer from the experience.    ",1
537,HoloMess,nyonoyo," My first, and still ongoing, series about girls messing their underwear. All the girls in Hololive end up soiling themselves in one way or another. Ideally I want to write stories until every girl has crapped themselves at least once. Currently, I focus on one generation at a time, but I'm thinking about doing one-offs as well to make more pairings and unique scenarios.    ",14
538,Promises,notmeromero, Ina and Ame chatting in a comfy ski lodge after skiing...or is it?    ,1
539,"""What if amesame tickle war?""",Magetro21, alina 🔎🔱 | in the void — Yesterday at 2:32 AMamesame tickle war plsZayne//Magetro21 — Yesterday at 2:32 AMOSure    ,1
540,what do I even title this with?,Magetro21, ,1
541,Lost Hope and Found You,TosamaVee," After failing to stop Omega from destroying the universe, causing the cycle of the universe to continue, IRyS finds herself recovering under the care of Hakos Baelz.    ",1
542,what do I even title this with?,Magetro21, ,1
543,Lost Hope and Found You,TosamaVee," After failing to stop Omega from destroying the universe, causing the cycle of the universe to continue, IRyS finds herself recovering under the care of Hakos Baelz.    ",1
544,A Comment From Isolation,JNES," Houshou Marine is a woman who's supposed to have it all, fame, looks, and friends, but why is she lonely on Valentines Day, the most romantic day of the year.    ",1
